PontoDemanda,PHC,Fluxo
393,15,374.00
394,9,361.00
395,9,94.00
396,35,345.00
397,35,408.00
398,18,438.00
399,18,561.00
400,25,440.00
401,25,622.00
402,19,290.00
403,19,523.00
404,21,254.00
406,29,480.00
407,29,490.00
408,9,630.00
409,9,463.00
410,9,13.00
411,12,382.00
412,12,215.00
412,12,249.00
413,27,476.00
414,27,467.00
415,5,606.00
416,5,358.00
417,22,500.00
418,22,169.00
419,16,405.00
420,10,459.00
421,29,868.00
422,4,504.00
423,4,377.00
424,38,344.00
425,4,703.00
426,28,507.00
427,28,386.00
428,6,499.00
429,6,481.00
430,39,8.00
431,9,421.00
432,9,285.00
433,9,491.00
434,18,712.00
435,18,419.00
436,18,262.00
436,18,550.00
437,18,460.00
438,8,589.00
439,8,594.00
440,19,641.00
441,19,524.00
442,9,350.00
443,9,480.00
444,22,410.00
445,22,579.00
446,22,699.00
447,22,789.00
448,43,216.00
449,9,383.00
450,28,398.00
451,28,145.00
451,28,258.00
452,21,193.00
453,21,329.00
454,5,473.00
455,5,318.00
456,5,371.00
457,5,512.00
458,18,446.00
459,18,440.00
460,16,405.00
461,10,429.00
462,16,270.00
463,10,266.00
464,45,149.00
465,45,115.00
466,24,124.00
467,4,46.00
468,28,299.00
469,39,223.00
470,45,209.00
471,40,84.00
472,18,58.00
473,31,245.00
474,31,210.00
475,25,246.00
476,17,153.00
477,3,224.00
478,3,410.00
479,3,264.00
480,3,322.00
481,6,219.00
482,6,240.00
483,39,228.00
484,39,152.00
485,20,195.00
486,20,382.00
487,15,631.00
488,15,278.00
489,43,408.00
490,43,139.00
491,14,236.00
491,14,275.00
492,14,570.00
493,4,88.00
494,14,113.00
495,14,82.00
496,14,201.00
497,14,217.00
498,14,91.00
499,14,149.00
500,14,511.00
501,14,317.00
502,14,83.00
503,14,176.00
504,14,409.00
505,14,31.00
506,14,564.00
507,14,30.00
508,14,65.00
509,14,133.00
510,14,712.00
511,14,288.00
512,14,135.00
513,14,288.00
514,14,291.00
515,14,361.00
516,14,109.00
517,38,193.00
518,28,46.00
519,14,202.00
520,14,33.00
521,14,43.00
522,14,211.00
523,28,54.00
524,28,100.00
